Company Name,Symbol,Country,Sector,Industry
York Water Company (The),YORW,United States,Utilities,Water Supply
Xcel Energy Inc.,XEL,United States,Utilities,Power Generation
Essential Utilities Inc.,WTRG,United States,Utilities,Water Supply
Williams Companies Inc. (The),WMB,United States,Utilities,Natural Gas Distribution
Waste Management Inc.,WM,United States,Utilities,Environmental Services
Western Midstream Partners LP Common Units Representing Limited Partner Interests,WES,United States,Utilities,Natural Gas Distribution
WEC Energy Group Inc.,WEC,United States,Utilities,Power Generation
Waste Connections Inc. Common Shares,WCN,Canada,Utilities,Environmental Services
Eco Wave Power Global AB (publ) American Depositary Shares,WAVE,Israel,Utilities,Electric Utilities: Central
VivoPower International PLC Ordinary Shares,VVPR,United Kingdom,Utilities,Power Generation
Vistra Corp.,VST,,Utilities,Electric Utilities: Central
Via Renewables Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,VIASP,United States,Utilities,Power Generation
Via Renewables Inc. Class A,VIA,United States,Utilities,Power Generation
UNITIL Corporation,UTL,United States,Utilities,Power Generation
USA Compression Partners LP Common Units Representing Limited Partner Interests,USAC,United States,Utilities,Natural Gas Distribution
UGI Corporation Corporate Units,UGIC,United States,Utilities,Natural Gas Distribution
UGI Corporation,UGI,United States,Utilities,Natural Gas Distribution
Tennessee Valley Authority,TVE,United States,Utilities,Electric Utilities: Central
Tennessee Valley Authority,TVC,United States,Utilities,Electric Utilities: Central
Targa Resources Inc.,TRGP,United States,Utilities,Natural Gas Distribution
Southwest Gas Holdings Inc. (DE),SWX,United States,Utilities,Oil & Gas Production
DBA Sempra,SRE,United States,Utilities,Oil/Gas Transmission
Spire Inc.,SR,United States,Utilities,Oil/Gas Transmission
Sonim Technologies Inc.,SONM,United States,Utilities,Telecommunications Equipment
Southern Company (The),SO,United States,Utilities,Power Generation
Summit Midstream Partners LP Common Units Representing Limited Partner Interests,SMLP,United States,Utilities,Natural Gas Distribution
Stabilis Solutions Inc.,SLNG,United States,Utilities,Oil/Gas Transmission
SJW Group (DE),SJW,United States,Utilities,Water Supply
374Water Inc.,SCWO,United States,Utilities,Environmental Services
Republic Services Inc.,RSG,United States,Utilities,Environmental Services
RGC Resources Inc.,RGCO,United States,Utilities,Oil & Gas Production
Quest Resource Holding Corporation,QRHC,United States,Utilities,Environmental Services
PPL Corporation,PPL,United States,Utilities,Electric Utilities: Central
Portland General Electric Co,POR,United States,Utilities,Electric Utilities: Central
Pinnacle West Capital Corporation,PNW,United States,Utilities,Electric Utilities: Central
PNM Resources Inc. (Holding Co.),PNM,United States,Utilities,Electric Utilities: Central
Pure Cycle Corporation,PCYO,United States,Utilities,Water Supply
PureCycle Technologies Inc. Unit,PCTTU,United States,Utilities,Environmental Services
PureCycle Technologies Inc.,PCT,United States,Utilities,Environmental Services
Pacific Gas & Electric Co. Equity Unit,PCGU,United States,Utilities,Power Generation
Pacific Gas & Electric Co.,PCG,United States,Utilities,Power Generation
Pampa Energia S.A. Pampa Energia S.A.,PAM,Argentina,Utilities,Electric Utilities: Central
Otter Tail Corporation,OTTR,United States,Utilities,Electric Utilities: Central
Ormat Technologies Inc.,ORA,United States,Utilities,Electric Utilities: Central
OPAL Fuels Inc. Class A,OPAL,United States,Utilities,Natural Gas Distribution
ONEOK Inc.,OKE,United States,Utilities,Oil & Gas Production
ONE Gas Inc.,OGS,,Utilities,Oil/Gas Transmission
OGE Energy Corp,OGE,United States,Utilities,Electric Utilities: Central
Northwest Natural Holding Company,NWN,United States,Utilities,Oil/Gas Transmission
NorthWestern Corporation,NWE,United States,Utilities,Power Generation
NETGEAR Inc.,NTGR,United States,Utilities,Telecommunications Equipment
NRG Energy Inc.,NRG,United States,Utilities,Electric Utilities: Central
Sunnova Energy International Inc.,NOVA,United States,Utilities,Electric Utilities: Central
NewJersey Resources Corporation,NJR,United States,Utilities,Oil/Gas Transmission
NiSource Inc Series A Corporate Units,NIMC,United States,Utilities,Power Generation
NiSource Inc,NI,United States,Utilities,Power Generation
NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,NGL,United States,Utilities,Natural Gas Distribution
National Fuel Gas Company,NFG,United States,Utilities,Oil/Gas Transmission
New Fortress Energy Inc. Class A,NFE,United States,Utilities,Oil/Gas Transmission
NextDecade Corporation,NEXT,United States,Utilities,Oil & Gas Production
NextEra Energy Partners LP Common Units representing limited partner interests,NEP,United States,Utilities,Electric Utilities: Central
Middlesex Water Company,MSEX,United States,Utilities,Water Supply
Montauk Renewables Inc.,MNTK,United States,Utilities,Natural Gas Distribution
Molekule Group Inc.,MKUL,United States,Utilities,Environmental Services
Minim Inc.,MINM,United States,Utilities,Telecommunications Equipment
Alliant Energy Corporation,LNT,United States,Utilities,Power Generation
Cheniere Energy Inc.,LNG,United States,Utilities,Oil/Gas Transmission
Kinder Morgan Inc.,KMI,United States,Utilities,Natural Gas Distribution
Kenon Holdings Ltd. Ordinary Shares,KEN,Singapore,Utilities,Electric Utilities: Central
Infinera Corporation,INFN,United States,Utilities,Telecommunications Equipment
IDACORP Inc.,IDA,United States,Utilities,Electric Utilities: Central
Heliogen Inc.,HLGN,,Utilities,Electric Utilities: Central
Hawaiian Electric Industries Inc.,HE,United States,Utilities,Power Generation
Global Water Resources Inc.,GWRS,United States,Utilities,Water Supply
Genie Energy Ltd. Class B Stock,GNE,United States,Utilities,Power Generation
Fabrinet Ordinary Shares,FN,Cayman Islands,Utilities,Telecommunications Equipment
Franklin Wireless Corp.,FKWL,United States,Utilities,Telecommunications Equipment
FirstEnergy Corp.,FE,United States,Utilities,Electric Utilities: Central
FuelCell Energy Inc.,FCEL,United States,Utilities,Electric Utilities: Central
Exelon Corporation,EXC,United States,Utilities,Power Generation
Evergy Inc.,EVRG,United States,Utilities,Power Generation
Equitrans Midstream Corporation ,ETRN,,Utilities,Natural Gas Distribution
Entergy Corporation,ETR,United States,Utilities,Electric Utilities: Central
Energy Transfer LP Common Units ,ET,United States,Utilities,Natural Gas Distribution
Eversource Energy (D/B/A),ES,United States,Utilities,Electric Utilities: Central
Enterprise Products Partners L.P.,EPD,United States,Utilities,Natural Gas Distribution
EnLink Midstream LLC Common Units representing Limited Partner Interests,ENLC,,Utilities,Natural Gas Distribution
Edison International,EIX,United States,Utilities,Electric Utilities: Central
Excelerate Energy Inc. Class A,EE,,Utilities,Oil/Gas Transmission
Consolidated Edison Inc.,ED,United States,Utilities,Power Generation
DZS Inc.,DZSI,United States,Utilities,Telecommunications Equipment
Duke Energy Corporation (Holding Company),DUK,United States,Utilities,Power Generation
DT Midstream Inc. ,DTM,United States,Utilities,Oil & Gas Production
DTE Energy Company,DTE,United States,Utilities,Electric Utilities: Central
Dominion Energy Inc.,D,United States,Utilities,Electric Utilities: Central
California Water Service Group,CWT,United States,Utilities,Water Supply
Casella Waste Systems Inc. Class A,CWST,United States,Utilities,Environmental Services
Clearway Energy Inc. Class C,CWEN,United States,Utilities,Electric Utilities: Central
Consolidated Water Co. Ltd. Ordinary Shares,CWCO,Cayman Islands,Utilities,Water Supply
Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,CQP,United States,Utilities,Oil/Gas Transmission
Chesapeake Utilities Corporation,CPK,United States,Utilities,Oil & Gas Production
CenterPoint Energy Inc (Holding Co),CNP,United States,Utilities,Electric Utilities: Central
CMS Energy Corporation,CMS,United States,Utilities,Power Generation
ClearOne Inc. (DE),CLRO,United States,Utilities,Telecommunications Equipment
Clean Energy Fuels Corp.,CLNE,United States,Utilities,Natural Gas Distribution
Clean Earth Acquisitions Corp. Right,CLINR,United States,Utilities,Power Generation
Clean Earth Acquisitions Corp. Class A,CLIN,United States,Utilities,Power Generation
Clearfield Inc.,CLFD,United States,Utilities,Telecommunications Equipment
Ciena Corporation,CIEN,United States,Utilities,Telecommunications Equipment
Clean Energy Technologies Inc.,CETY,United States,Utilities,Power Generation
Crestwood Equity Partners LP,CEQP,United States,Utilities,Oil & Gas Production
Constellation Energy Corporation ,CEG,United States,Utilities,Electric Utilities: Central
Cadiz Inc. Depositary Shares,CDZIP,United States,Utilities,Water Supply
CADIZ Inc.,CDZI,United States,Utilities,Water Supply
Black Hills Corporation,BKH,United States,Utilities,Electric Utilities: Central
Brookfield Infrastructure Partners LP Limited Partnership Units,BIP,Bermuda,Utilities,Power Generation
Brookfield Renewable Partners L.P. ,BEP,Canada,Utilities,Electric Utilities: Central
Atlantica Sustainable Infrastructure plc Ordinary Shares,AY,United Kingdom,Utilities,Electric Utilities: Central
Avalon Holdings Corporation,AWX,United States,Utilities,Environmental Services
American States Water Company,AWR,United States,Utilities,Water Supply
American Water Works Company Inc.,AWK,United States,Utilities,Water Supply
Avista Corporation,AVA,United States,Utilities,Power Generation
AudioCodes Ltd.,AUDC,Israel,Utilities,Telecommunications Equipment
Atmos Energy Corporation,ATO,United States,Utilities,Oil/Gas Transmission
Artesian Resources Corporation Class A,ARTNA,United States,Utilities,Water Supply
Archrock Inc.,AROC,United States,Utilities,Natural Gas Distribution
Aris Water Solutions Inc. Class A,ARIS,United States,Utilities,Water Supply
Algonquin Power & Utilities Corp. Corporate Units,AQNU,United States,Utilities,Electric Utilities: Central
Algonquin Power & Utilities Corp. Common Shares,AQN,United States,Utilities,Electric Utilities: Central
Altus Power Inc. Class A,AMPS,,Utilities,Electric Utilities: Central
Antero Midstream Corporation,AM,United States,Utilities,Natural Gas Distribution
Allete Inc.,ALE,United States,Utilities,Power Generation
Akoustis Technologies Inc.,AKTS,United States,Utilities,Telecommunications Equipment
Avangrid Inc.,AGR,United States,Utilities,Electric Utilities: Central
The AES Corporation Corporate Units,AESC,United States,Utilities,Electric Utilities: Central
The AES Corporation,AES,United States,Utilities,Electric Utilities: Central
American Electric Power Company Inc.,AEP,United States,Utilities,Electric Utilities: Central
Ameren Corporation,AEE,United States,Utilities,Power Generation
ADTRAN Holdings Inc.,ADTN,United States,Utilities,Telecommunications Equipment
Advent Technologies Holdings Inc. Class A,ADN,United States,Utilities,Power Generation
WideOpenWest Inc.,WOW,United States,Telecommunications,Cable & Other Pay Television Services
Wearable Devices Ltd. Ordinary Share,WLDS,Israel,Telecommunications,Computer Communications Equipment
Warner Bros. Discovery Inc. Series A ,WBD,United States,Telecommunications,Cable & Other Pay Television Services
Verizon Communications Inc.,VZ,United States,Telecommunications,Telecommunications Equipment
Vislink Technologies Inc.,VISL,United States,Telecommunications,Telecommunications Equipment
VEON Ltd. ADS,VEON,Netherlands,Telecommunications,Telecommunications Equipment
UTStarcom Holdings Corp. Ordinary Shares,UTSI,China,Telecommunications,Telecommunications Equipment
United States Cellular Corporation,USM,United States,Telecommunications,Telecommunications Equipment
TechTarget Inc.,TTGT,United States,Telecommunications,Telecommunications Equipment
T-Mobile US Inc.,TMUS,United States,Telecommunications,Telecommunications Equipment
Millicom International Cellular S.A.,TIGO,Luxembourg,Telecommunications,Telecommunications Equipment
Telephone and Data Systems Inc. Common Shares,TDS,United States,Telecommunications,Telecommunications Equipment
AT&T Inc.,T,United States,Telecommunications,Telecommunications Equipment
Siyata Mobile Inc. Common Shares,SYTA,Canada,Telecommunications,Telecommunications Equipment
Senstar Technologies Ltd. Ordinary Shares,SNT,Israel,Telecommunications,Telecommunications Equipment
Sidus Space Inc. Class A,SIDU,United States,Telecommunications,Telecommunications Equipment
Shenandoah Telecommunications Co,SHEN,United States,Telecommunications,Telecommunications Equipment
Roku Inc. Class A,ROKU,United States,Telecommunications,Cable & Other Pay Television Services
Rekor Systems Inc.,REKR,United States,Telecommunications,Telecommunications Equipment
PowerFleet Inc.,PWFL,United States,Telecommunications,Telecommunications Equipment
NextPlat Corp,NXPL,United States,Telecommunications,Telecommunications Equipment
NAPCO Security Technologies Inc.,NSSC,United States,Telecommunications,Telecommunications Equipment
Moving iMage Technologies Inc.,MITQ,United States,Telecommunications,Telecommunications Equipment
Matthews International Corporation Class A,MATW,United States,Telecommunications,Metal Fabrications
Lumen Technologies Inc.,LUMN,United States,Telecommunications,Telecommunications Equipment
Lantronix Inc.,LTRX,United States,Telecommunications,Telecommunications Equipment
Lumentum Holdings Inc.,LITE,United States,Telecommunications,Telecommunications Equipment
Liberty Latin America Ltd. Class C,LILAK,United States,Telecommunications,Cable & Other Pay Television Services
Liberty Latin America Ltd. Class A,LILA,United States,Telecommunications,Cable & Other Pay Television Services
Liberty Global plc Class C Ordinary Shares,LBTYK,United Kingdom,Telecommunications,Cable & Other Pay Television Services
Liberty Global plc Class B Ordinary Shares,LBTYB,United Kingdom,Telecommunications,Cable & Other Pay Television Services
Liberty Global plc Class A Ordinary Shares,LBTYA,United Kingdom,Telecommunications,Cable & Other Pay Television Services
Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,LBRDP,United States,Telecommunications,Cable & Other Pay Television Services
Liberty Broadband Corporation Class C,LBRDK,United States,Telecommunications,Cable & Other Pay Television Services
Liberty Broadband Corporation Class A,LBRDA,United States,Telecommunications,Cable & Other Pay Television Services
Knightscope Inc. Class A,KSCP,United States,Telecommunications,Telecommunications Equipment
Juniper Networks Inc.,JNPR,United States,Telecommunications,Computer Communications Equipment
Iteris Inc.,ITI,United States,Telecommunications,Telecommunications Equipment
Iridium Communications Inc,IRDM,United States,Telecommunications,Telecommunications Equipment
Intrusion Inc.,INTZ,United States,Telecommunications,Computer Communications Equipment
Inseego Corp.,INSG,United States,Telecommunications,Telecommunications Equipment
IHS Holding Limited Ordinary Shares,IHS,,Telecommunications,Telecommunications Equipment
IDT Corporation Class B,IDT,United States,Telecommunications,Telecommunications Equipment
InterDigital Inc.,IDCC,United States,Telecommunications,Telecommunications Equipment
Turtle Beach Corporation,HEAR,United States,Telecommunications,Telecommunications Equipment
Extreme Networks Inc.,EXTR,United States,Telecommunications,Telecommunications Equipment
ESCO Technologies Inc.,ESE,United States,Telecommunications,Telecommunications Equipment
DISH Network Corporation Class A,DISH,United States,Telecommunications,Cable & Other Pay Television Services
Crexendo Inc.,CXDO,United States,Telecommunications,Telecommunications Equipment
Cisco Systems Inc. (DE),CSCO,United States,Telecommunications,Computer Communications Equipment
Consolidated Communications Holdings Inc.,CNSL,United States,Telecommunications,Telecommunications Equipment
Comcast Corporation Class A,CMCSA,United States,Telecommunications,Cable & Other Pay Television Services
Charter Communications Inc. Class A New,CHTR,United States,Telecommunications,Cable & Other Pay Television Services
Comcast Holdings ZONES,CCZ,United States,Telecommunications,Cable & Other Pay Television Services
Churchill Capital Corp V Class A,CCV,,Telecommunications,Cable & Other Pay Television Services
Cable One Inc.,CABO,United States,Telecommunications,Cable & Other Pay Television Services
Broadwind Inc.,BWEN,United States,Telecommunications,Metal Fabrications
Boxlight Corporation Class A,BOXL,United States,Telecommunications,Telecommunications Equipment
B.O.S. Better Online Solutions,BOSC,Israel,Telecommunications,Computer Communications Equipment
Aviat Networks Inc.,AVNW,United States,Telecommunications,Telecommunications Equipment
Altice USA Inc. Class A,ATUS,United States,Telecommunications,Cable & Other Pay Television Services
ATN International Inc.,ATNI,United States,Telecommunications,Telecommunications Equipment
Anterix Inc.,ATEX,United States,Telecommunications,Telecommunications Equipment
A10 Networks Inc.,ATEN,United States,Telecommunications,Computer Communications Equipment
Actelis Networks Inc.,ASNS,United States,Telecommunications,Telecommunications Equipment
Arista Networks Inc.,ANET,United States,Telecommunications,Computer Communications Equipment
Amplitech Group Inc.,AMPG,United States,Telecommunications,Telecommunications Equipment
AMC Networks Inc. Class A,AMCX,United States,Telecommunications,Cable & Other Pay Television Services
Alpine 4 Holdings Inc. Class A,ALPP,United States,Telecommunications,Telecommunications Equipment
Allot Ltd. Ordinary Shares,ALLT,Israel,Telecommunications,Telecommunications Equipment
Zuora Inc. Class A,ZUO,,Technology,Computer Software: Prepackaged Software
Zscaler Inc.,ZS,United States,Technology,EDP Services
Zoom Video Communications Inc. Class A,ZM,United States,Technology,Computer Software: Programming Data Processing
ZoomInfo Technologies Inc,ZI,United States,Technology,Computer Software: Prepackaged Software
ZeroFox Holdings Inc.,ZFOX,United States,Technology,EDP Services
Zeta Global Holdings Corp. Class A,ZETA,,Technology,EDP Services
Zedge Inc. Class B ,ZDGE,,Technology,Computer Software: Prepackaged Software
JOYY Inc. American Depositary Shares,YY,China,Technology,EDP Services
Clear Secure Inc. Class A,YOU,United States,Technology,Computer Software: Prepackaged Software
Yext Inc.,YEXT,United States,Technology,EDP Services
Yalla Group Limited American Depositary Shares each representing one Class A Ordinary Share,YALA,United Arab Emirates,Technology,Computer Software: Programming Data Processing
Xerox Holdings Corporation,XRX,United States,Technology,Computer peripheral equipment
Expion360 Inc.,XPON,United States,Technology,Electronic Components
Xperi Inc. ,XPER,United States,Technology,Semiconductors
Xunlei Limited American Depositary Shares,XNET,China,Technology,Computer Software: Prepackaged Software
Xometry Inc. Class A,XMTR,United States,Technology,Industrial Machinery/Components
WidePoint Corporation,WYY,United States,Technology,EDP Services
TeraWulf Inc.,WULF,United States,Technology,EDP Services
Wolfspeed Inc.,WOLF,United States,Technology,Semiconductors
WalkMe Ltd. Ordinary Shares,WKME,Israel,Technology,EDP Services
WISeKey International Holding Ltd American Depositary Shares,WKEY,Switzerland,Technology,EDP Services
Workiva Inc. Class A,WK,United States,Technology,Computer Software: Prepackaged Software
Wix.com Ltd. Ordinary Shares,WIX,Israel,Technology,EDP Services
WiSA Technologies Inc.,WISA,United States,Technology,Semiconductors
GeneDx Holdings Corp. Class A,WGS,United States,Technology,Retail: Computer Software & Peripheral Equipment
Where Food Comes From Inc.,WFCF,United States,Technology,Computer Software: Prepackaged Software
WeTrade Group Inc. Ordinary Shares,WETG,China,Technology,Computer Software: Prepackaged Software
Weave Communications Inc.,WEAV,United States,Technology,EDP Services
Western Digital Corporation,WDC,United States,Technology,Electronic Components
Workday Inc. Class A,WDAY,United States,Technology,EDP Services
Weibo Corporation American Depositary Share,WB,China,Technology,Computer Software: Programming Data Processing
Western Acquisition Ventures Corp. Warrant,WAVSW,United States,Technology,EDP Services
Western Acquisition Ventures Corp. Unit,WAVSU,United States,Technology,EDP Services
Western Acquisition Ventures Corp.,WAVS,United States,Technology,EDP Services
WaveDancer Inc.,WAVD,United States,Technology,Computer Software: Prepackaged Software
Energous Corporation,WATT,United States,Technology,Radio And Television Broadcasting And Communications Equipment
Vuzix Corporation,VUZI,United States,Technology,Industrial Machinery/Components
VTEX Class A Common Shares,VTEX,United Kingdom,Technology,Computer Software: Prepackaged Software
Vishay Intertechnology Inc.,VSH,United States,Technology,Industrial Machinery/Components
ViaSat Inc.,VSAT,United States,Technology,Radio And Television Broadcasting And Communications Equipment
Versus Systems Inc. Common Shares,VS,Canada,Technology,EDP Services
Vertiv Holdings LLC Class A,VRT,United States,Technology,Industrial Machinery/Components
VeriSign Inc.,VRSN,United States,Technology,EDP Services
Verint Systems Inc.,VRNT,United States,Technology,EDP Services
Varonis Systems Inc.,VRNS,United States,Technology,Computer Software: Prepackaged Software
VerifyMe Inc.,VRME,United States,Technology,EDP Services
Varex Imaging Corporation,VREX,United States,Technology,Industrial Machinery/Components
The Glimpse Group Inc.,VRAR,United States,Technology,Retail: Computer Software & Peripheral Equipment
Vishay Precision Group Inc.,VPG,United States,Technology,Electrical Products
VOXX International Corporation Class A,VOXX,United States,Technology,Electronic Components
Vmware Inc. Class A,VMW,United States,Technology,Computer Software: Prepackaged Software
Vimeo Inc.,VMEO,United States,Technology,Computer Software: Prepackaged Software
Valens Semiconductor Ltd. Ordinary Shares,VLN,,Technology,Semiconductors
Vicor Corporation,VICR,United States,Technology,Industrial Machinery/Components
Viavi Solutions Inc.,VIAV,United States,Technology,Semiconductors
Vertex Inc. Class A,VERX,United States,Technology,Computer Software: Prepackaged Software
Veritone Inc.,VERI,United States,Technology,EDP Services
Verb Technology Company Inc.,VERB,United States,Technology,EDP Services
Veeva Systems Inc. Class A,VEEV,United States,Technology,Computer Software: Prepackaged Software
Veeco Instruments Inc.,VECO,United States,Technology,Semiconductors
Vacasa Inc. Class A,VCSA,United States,Technology,Computer Software: Prepackaged Software
Universal Security Instruments Inc.,UUU,United States,Technology,Electronic Components
Minerva Surgical Inc.,UTRS,United States,Technology,Computer Software: Prepackaged Software
Usio Inc.,USIO,United States,Technology,EDP Services
Upwork Inc.,UPWK,United States,Technology,EDP Services
Upland Software Inc.,UPLD,United States,Technology,Computer Software: Prepackaged Software
Unisys Corporation New,UIS,United States,Technology,EDP Services
Ubiquiti Inc.,UI,United States,Technology,Radio And Television Broadcasting And Communications Equipment
Ultra Clean Holdings Inc.,UCTT,United States,Technology,Semiconductors
Uber Technologies Inc.,UBER,United States,Technology,EDP Services
Unity Software Inc.,U,United States,Technology,Retail: Computer Software & Peripheral Equipment
Tyler Technologies Inc.,TYL,United States,Technology,Computer Software: Prepackaged Software
Tigo Energy Inc.,TYGO,United States,Technology,Semiconductors
Texas Instruments Incorporated,TXN,United States,Technology,Semiconductors
2U Inc.,TWOU,United States,Technology,Computer Software: Prepackaged Software
Twilio Inc. Class A,TWLO,United States,Technology,Computer Software: Prepackaged Software
Thoughtworks Holding Inc.,TWKS,United States,Technology,EDP Services
Tuya Inc. American Depositary Shares each representing one Class A Ordinary Share,TUYA,China,Technology,Computer Software: Prepackaged Software
Take-Two Interactive Software Inc.,TTWO,United States,Technology,Computer Software: Prepackaged Software
TTM Technologies Inc.,TTMI,United States,Technology,Electrical Products
TTEC Holdings Inc.,TTEC,United States,Technology,Retail: Computer Software & Peripheral Equipment
The Trade Desk Inc. Class A,TTD,United States,Technology,Computer Software: Programming Data Processing
TSR Inc.,TSRI,United States,Technology,EDP Services
Tower Semiconductor Ltd. Ordinary Shares,TSEM,Israel,Technology,Semiconductors
TrueCar Inc.,TRUE,United States,Technology,Computer Software: Programming Data Processing
Trio-Tech International,TRT,United States,Technology,Industrial Machinery/Components
TROOPS Inc. Ordinary Shares ,TROO,China,Technology,Radio And Television Broadcasting And Communications Equipment
Interactive Strength Inc.,TRNR,United States,Technology,Consumer Electronics/Appliances
Tremor International Ltd. American Depository Shares,TRMR,Israel,Technology,Computer Software: Programming Data Processing
TripAdvisor Inc.,TRIP,United States,Technology,Computer Software: Programming Data Processing
Toast Inc. Class A,TOST,United States,Technology,EDP Services
Tempo Automation Holdings Inc.,TMPO,United States,Technology,Industrial Machinery/Components
Telos Corporation,TLS,United States,Technology,EDP Services
TELUS International (Cda) Inc. Subordinate Voting Shares,TIXT,,Technology,EDP Services
Treasure Global Inc.,TGL,United States,Technology,Retail: Computer Software & Peripheral Equipment
Transphorm Inc.,TGAN,United States,Technology,Semiconductors
Tenable Holdings Inc.,TENB,United States,Technology,Computer Software: Prepackaged Software
TE Connectivity Ltd. New Switzerland Registered Shares,TEL,Switzerland,Technology,Industrial Machinery/Components
Atlassian Corporation Class A,TEAM,Australia,Technology,Computer Software: Prepackaged Software
Teradata Corporation,TDC,United States,Technology,Computer Software: Prepackaged Software
Tucows Inc. Class A,TCX,Canada,Technology,EDP Services
Taboola.com Ltd. Ordinary Shares,TBLA,Israel,Technology,Computer Software: Programming Data Processing
TaskUs Inc. Class A,TASK,United States,Technology,Retail: Computer Software & Peripheral Equipment
Taoping Inc. Ordinary Shares ,TAOP,Hong Kong,Technology,Computer Software: Prepackaged Software
Taitron Components Incorporated Class A,TAIT,United States,Technology,Electronic Components
TransAct Technologies Incorporated,TACT,United States,Technology,Computer peripheral equipment
Synaptics Incorporated $0.001 Par Value,SYNA,United States,Technology,Semiconductors
Swvl Holdings Corp Class A Common Shares,SWVL,United Arab Emirates,Technology,Computer Software: Prepackaged Software
Skyworks Solutions Inc.,SWKS,United States,Technology,Semiconductors
SolarWinds Corporation,SWI,United States,Technology,Computer Software: Prepackaged Software
Seagate Technology Holdings PLC Ordinary Shares (Ireland),STX,Ireland,Technology,Electronic Components
Streamline Health Solutions Inc.,STRM,United States,Technology,EDP Services
STMicroelectronics N.V.,STM,Switzerland,Technology,Semiconductors
Sterling Check Corp.,STER,United States,Technology,Computer Software: Prepackaged Software
Stem Inc. Class A,STEM,United States,Technology,Computer Software: Prepackaged Software
Stratasys Ltd. Ordinary Shares (Israel),SSYS,United States,Technology,Computer peripheral equipment
Shutterstock Inc.,SSTK,United States,Technology,EDP Services
SoundThinking Inc.,SSTI,United States,Technology,Computer Software: Prepackaged Software
SilverSun Technologies Inc.,SSNT,United States,Technology,EDP Services
SS&C Technologies Holdings Inc.,SSNC,United States,Technology,EDP Services
Squarespace Inc. Class A,SQSP,United States,Technology,Computer Software: Prepackaged Software
Sequans Communications S.A. American Depositary Shares,SQNS,France,Technology,Semiconductors
Block Inc. Class A,SQ,United States,Technology,Computer Software: Prepackaged Software
SunPower Corporation,SPWR,United States,Technology,Semiconductors
Sprout Social Inc Class A,SPT,United States,Technology,EDP Services
SPS Commerce Inc.,SPSC,United States,Technology,Computer Software: Prepackaged Software
Spok Holdings Inc.,SPOK,United States,Technology,Retail: Computer Software & Peripheral Equipment
Sapiens International Corporation N.V. Common Shares (Cayman Islands),SPNS,Curacao,Technology,Computer Software: Prepackaged Software
Splunk Inc.,SPLK,United States,Technology,Computer Software: Prepackaged Software
SPI Energy Co. Ltd. Ordinary Shares,SPI,China,Technology,Semiconductors
SuperCom Ltd. Ordinary Shares (Israel),SPCB,Israel,Technology,Semiconductors
SoundHound AI Inc Class A,SOUN,United States,Technology,EDP Services
Society Pass Incorporated,SOPA,United States,Technology,EDP Services
Emeren Group Ltd American Depositary Shares each representing 10 shares,SOL,China,Technology,Semiconductors
Sohu.com Limited American Depositary Shares,SOHU,China,Technology,EDP Services
Sonic Foundry Inc.,SOFO,United States,Technology,Computer Software: Prepackaged Software
TD SYNNEX Corporation,SNX,United States,Technology,Retail: Computer Software & Peripheral Equipment
Synopsys Inc.,SNPS,United States,Technology,Computer Software: Prepackaged Software
Snowflake Inc. Class A,SNOW,United States,Technology,Computer Software: Prepackaged Software
Synchronoss Technologies Inc.,SNCR,United States,Technology,EDP Services
Science 37 Holdings Inc.,SNCE,United States,Technology,Computer Software: Prepackaged Software
Snap Inc. Class A,SNAP,United States,Technology,Computer Software: Programming Data Processing
Snail Inc. Class A,SNAL,United States,Technology,Computer Software: Prepackaged Software
SMX (Security Matters) Public Limited Company Class A Ordinary Shares,SMX,Ireland,Technology,Industrial Machinery/Components
Similarweb Ltd. Ordinary Shares,SMWB,,Technology,Computer Software: Programming Data Processing
Semtech Corporation,SMTC,United States,Technology,Semiconductors
Smith Micro Software Inc.,SMSI,United States,Technology,Computer Software: Prepackaged Software
SmartRent Inc. Class A,SMRT,United States,Technology,EDP Services
Super Micro Computer Inc.,SMCI,United States,Technology,Computer Manufacturing
Smartsheet Inc. Class A,SMAR,United States,Technology,Computer Software: Prepackaged Software
Simulations Plus Inc.,SLP,United States,Technology,EDP Services
Soluna Holdings Inc 9.0% Series A Cumulative Perpetual Preferred Stock ,SLNHP,United States,Technology,EDP Services
Soluna Holdings Inc.,SLNH,United States,Technology,EDP Services
Silicon Laboratories Inc.,SLAB,United States,Technology,Semiconductors
SkyWater Technology Inc.,SKYT,United States,Technology,Semiconductors
Skillz Inc. Class A,SKLZ,,Technology,EDP Services
Skillsoft Corp. Class A,SKIL,United States,Technology,Computer Software: Prepackaged Software
SiTime Corporation,SITM,United States,Technology,Semiconductors
Silicon Motion Technology Corporation American Depositary Shares,SIMO,Taiwan,Technology,Semiconductors
Silicom Ltd Ordinary Shares,SILC,Israel,Technology,Computer Manufacturing
Shoals Technologies Group Inc. Class A,SHLS,United States,Technology,Semiconductors
Sharecare Inc. Class A,SHCR,United States,Technology,Computer Software: Prepackaged Software
SigmaTron International Inc.,SGMA,United States,Technology,Electrical Products
SMART Global Holdings Inc. Ordinary Shares,SGH,United States,Technology,Semiconductors
SEMrush Holdings Inc. Class A,SEMR,United States,Technology,EDP Services
