Company Name,Symbol,Country,Sector,Industry,Last EPS,3 years av,Last Growth,EPS average Growth,EPS median Growth,Years of Data,Debt to Equity,NWC per share,ROE,Free Cash Flow,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Performance
Sunnova Energy International Inc.,NOVA,United States,Utilities,Electric Utilities: Central,-1.4,-1.84,-0.13,0.25,0.31,4,3.26,1.02,-0.09,-579289000,0.714285714,0.642857143,0.385714286,0.284,0.642857143,0.942857143,-2.3,Regular growth
NewJersey Resources Corporation,NJR,United States,Utilities,Oil/Gas Transmission,2.7,2.26,-0.05,0.33,-0.05,4,1.65,-2.81,0.13,-69610000,0.727272727,0.698412698,0.090909091,0.336,0.636363636,0.818181818,1.3,Regular growth
NiSource Inc,NI,United States,Utilities,Power Generation,1.7,0.93,0.34,2.27,0.34,4,1.71,-6.2,0.1,-378800000,0.826086957,0.888888889,0.826086957,0.704,0.173913043,0.826086957,0.1,Outperformer
NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,NGL,United States,Utilities,Natural Gas Distribution,-0.6,-2.82,0.75,0.37,0.61,4,3.53,1.94,0.04,31347000,0.545454545,0.706349206,0.666666667,0.84,1,1,-4.2,Regular growth
National Fuel Gas Company,NFG,United States,Utilities,Oil/Gas Transmission,,2.9,0.55,2.18,2.18,4,0.9,-4.27,0.16,-100167000,1,0.880952381,0.636363636,0.784,0.454545455,0.363636364,,Outperformer
New Fortress Energy Inc. Class A,NFE,United States,Utilities,Oil/Gas Transmission,0.9,-0.1,0.98,0.73,0.98,4,4.2,-5.1,0.13,-692656000,0.818181818,0.797619048,0.909090909,0.904,0.363636364,1,-0.6,Outperformer
NextDecade Corporation,NEXT,United States,Utilities,Oil & Gas Production,-0.7,-0.41,-0.91,-0.29,-0.42,4,1.87,-0.32,-0.23,-954937000,0.322916667,0.182539683,0.083333333,0.08,0.305263158,0.93258427,0,Regular growth
NextEra Energy Partners LP Common Units representing limited partner interests,NEP,United States,Utilities,Electric Utilities: Central,5.6,2.19,2.18,1.94,2.18,4,0.45,-7.69,0.03,171000000,0.885714286,0.857142857,0.942857143,0.936,0.114285714,0.114285714,4.1,Outperformer
Middlesex Water Company,MSEX,United States,Utilities,Water Supply,2.4,2.21,0.15,0.06,0.08,4,0.97,0.81,0.11,-11740000,0.269230769,0.432539683,0.692307692,0.576,0.846153846,0.538461538,2.6,Regular growth
Montauk Renewables Inc.,MNTK,United States,Utilities,Natural Gas Distribution,0.2,0.08,9.33,2.4,-0.21,4,0.29,0.54,0.15,-2308000,0.818181818,0.904761905,0.904761905,0.968,0.777777778,0.111111111,0.1,Outperformer
Molekule Group Inc.,MKUL,United States,Utilities,Environmental Services,-0.4,-0.47,0.43,-7.47,-2.09,4,1.16,0.65,0.06,-12048681,0.166666667,0.031746032,0.833333333,0.744,0.833333333,0.833333333,-1,Underperformer
Minim Inc.,MINM,United States,Utilities,Telecommunications Equipment,-8.5,-4.83,-2.78,-0.74,0.17,4,0.51,3.32,-0.95,881430,0.173333333,0.119047619,0.067567568,0.024,0.733333333,0.533333333,-1.4,Underperformer
Alliant Energy Corporation,LNT,United States,Utilities,Power Generation,2.7,2.61,0.04,0.05,0.06,4,1.39,-2.2,0.11,311000000,0.434782609,0.400793651,0.434782609,0.408,0.391304348,0.52173913,1.5,Regular growth
Cheniere Energy Inc.,LNG,United States,Utilities,Oil/Gas Transmission,5.6,-1.32,1.61,-8.58,-1.14,4,3.38,7.24,-8.35,1312000000,0.090909091,0.023809524,1,0.92,1,0.909090909,-7,Underperformer
Kinder Morgan Inc.,KMI,United States,Utilities,Natural Gas Distribution,1.1,0.65,0.44,4.7,0.44,4,0.98,-1.71,0.08,639000000,0.909090909,0.944444444,0.523809524,0.756,0.166666667,0.333333333,1,Outperformer
Kenon Holdings Ltd. Ordinary Shares,KEN,Singapore,Utilities,Electric Utilities: Central,5.8,10.83,-0.66,12.94,0.84,4,0.7,12.02,0.14,14000000,1,0.976190476,0.114285714,0.12,0.971428571,0.285714286,20.2,Outperformer
Infinera Corporation,INFN,United States,Utilities,Telecommunications Equipment,-0.3,-0.76,0.57,0.44,0.49,4,4.34,1.88,-0.42,-9353000,0.673333333,0.722222222,0.77027027,0.8,0.586666667,0.92,0.1,Regular growth
IDACORP Inc.,IDA,United States,Utilities,Electric Utilities: Central,5.1,4.88,0.05,0.03,0.03,4,0.96,10.85,0.09,2208000,0.542857143,0.380952381,0.557142857,0.42,0.942857143,0.371428571,7.2,Regular growth
Heliogen Inc.,HLGN,,Utilities,Electric Utilities: Central,-26.2,-151.57,0.93,-4.38,-0.01,4,0.21,9.4,-1.13,-16857000,0.028571429,0.03968254,0.885714286,0.896,0.914285714,0.085714286,-263.5,Underperformer
Hawaiian Electric Industries Inc.,HE,United States,Utilities,Power Generation,2.2,2.09,-0.02,0.04,-0.02,4,1.6,59.06,0.11,79087000,0.391304348,0.388888889,0.347826087,0.38,1,0.739130435,1.4,Regular growth
Global Water Resources Inc.,GWRS,United States,Utilities,Water Supply,0.2,0.15,0.5,0.73,0.5,4,2.22,-0.1,0.12,5122000,0.923076923,0.797619048,0.923076923,0.768,0.384615385,1,-0.3,Outperformer
Genie Energy Ltd. Class B Stock,GNE,United States,Utilities,Power Generation,3.3,1.58,2.1,2.3,2.1,4,0,5.42,0.51,31465000,0.869565217,0.896825397,0.956521739,0.928,0.913043478,0.043478261,5,Outperformer
Fabrinet Ordinary Shares,FN,Cayman Islands,Utilities,Telecommunications Equipment,6.7,5.35,0.26,0.31,0.31,4,0.01,31.36,0.17,133434000,0.626666667,0.666666667,0.662162162,0.664,0.986666667,0.106666667,19.5,Regular growth
Franklin Wireless Corp.,FKWL,United States,Utilities,Telecommunications Equipment,-0.2,0.32,0.25,0.32,0.25,4,0,2.46,-0.07,-5248243,0.64,0.682539683,0.648648649,0.648,0.626666667,0.066666667,2.9,Regular growth
FirstEnergy Corp.,FE,United States,Utilities,Electric Utilities: Central,0.7,1.68,-0.7,-0.11,0.18,4,2.23,-3.97,0.04,-206000000,0.314285714,0.242063492,0.085714286,0.104,0.171428571,0.857142857,0.1,Regular growth
FuelCell Energy Inc.,FCEL,United States,Utilities,Electric Utilities: Central,-0.4,-0.37,-0.23,0.02,0.02,3,0.17,1.02,-0.19,-62590000,0.514285714,0.369047619,0.257142857,0.224,0.642857143,0.057142857,-1.8,Regular growth
Exelon Corporation,EXC,United States,Utilities,Power Generation,2.2,1.98,0.26,-0.07,-0.13,4,1.7,-1.28,0.09,-324000000,0.173913043,0.277777778,0.782608696,0.664,0.47826087,0.782608696,0.9,Underperformer
Evergy Inc.,EVRG,United States,Utilities,Power Generation,3.3,3.27,-0.15,0.08,-0.03,4,1.31,-12.68,0.08,282800000,0.652173913,0.5,0.260869565,0.272,0.043478261,0.434782609,1.5,Regular growth
Equitrans Midstream Corporation ,ETRN,,Utilities,Natural Gas Distribution,-0.8,-1.03,0.78,-0.37,0.78,4,3.29,-0.11,-0.13,202254000,0.136363636,0.166666667,0.714285714,0.848,0.555555556,0.944444444,-0.8,Underperformer
Entergy Corporation,ETR,United States,Utilities,Electric Utilities: Central,5.4,5.94,-0.03,-0.04,-0.03,4,1.99,-1.86,0.08,276354000,0.4,0.305555556,0.514285714,0.364,0.314285714,0.771428571,2.5,Regular growth
Energy Transfer LP Common Units ,ET,United States,Utilities,Natural Gas Distribution,1.4,1.02,-0.26,2.48,-0.26,4,1.17,0.21,0.12,1672000000,0.863636364,0.912698413,0.095238095,0.208,0.722222222,0.444444444,1.6,Outperformer
Eversource Energy (D/B/A),ES,United States,Utilities,Electric Utilities: Central,4,3.71,0.14,0.13,0.14,4,1.65,-8.64,0.09,-564229000,0.685714286,0.555555556,0.671428571,0.556,0.057142857,0.6,1.9,Regular growth
Enterprise Products Partners L.P.,EPD,United States,Utilities,Natural Gas Distribution,2.5,2.1,0.19,0.08,0.19,4,1.02,-0.46,0.2,1902000000,0.318181818,0.5,0.285714286,0.608,0.333333333,0.388888889,2,Regular growth
EnLink Midstream LLC Common Units representing Limited Partner Interests,ENLC,,Utilities,Natural Gas Distribution,0.7,-0.02,13.8,5.17,1.06,4,1.75,-0.1,0.12,156400000,0.954545455,0.96031746,0.952380952,0.984,0.611111111,0.611111111,0,Outperformer
Edison International,EIX,United States,Utilities,Electric Utilities: Central,1.6,1.86,-0.2,-0.22,-0.2,4,1.98,-4.67,0.05,554000000,0.214285714,0.202380952,0.342857143,0.252,0.142857143,0.742857143,0.2,Regular growth
Consolidated Edison Inc.,ED,United States,Utilities,Power Generation,4.7,3.93,0.21,0.06,0.17,4,1.13,-0.29,0.08,-984000000,0.5,0.432539683,0.739130435,0.628,0.652173913,0.304347826,5.9,Regular growth
DZS Inc.,DZSI,United States,Utilities,Telecommunications Equipment,-1.3,-1.23,-0.02,-0.26,-0.21,4,0.44,2.32,-0.26,-15781000,0.346666667,0.19047619,0.567567568,0.38,0.613333333,0.506666667,-0.4,Regular growth
Duke Energy Corporation (Holding Company),DUK,United States,Utilities,Power Generation,3.2,3.28,-0.36,0.28,-0.36,4,1.53,-5.34,0.05,3524000000,0.782608696,0.658730159,0.217391304,0.168,0.260869565,0.652173913,1.6,Outperformer
DT Midstream Inc. ,DTM,United States,Utilities,Oil & Gas Production,3.8,3.4,0.21,0.24,0.21,4,0.77,-2.31,0.09,24000000,0.442708333,0.630952381,0.166666667,0.628,0.105263158,0.741573034,1.6,Regular growth
DTE Energy Company,DTE,United States,Utilities,Electric Utilities: Central,5.5,5.76,0.18,-0.01,0.12,4,1.89,-3.03,0.1,-321000000,0.457142857,0.349206349,0.742857143,0.6,0.228571429,0.657142857,3.6,Regular growth
Dominion Energy Inc.,D,United States,Utilities,Electric Utilities: Central,1.1,1.5,-0.73,1.97,-0.73,4,1.49,3.64,0.04,-1097000000,0.914285714,0.873015873,0.057142857,0.096,0.8,0.542857143,0.8,Outperformer
California Water Service Group,CWT,United States,Utilities,Water Supply,1.8,1.9,-0.1,0.13,-0.01,4,0.83,-1.37,0.07,9047000,0.461538462,0.555555556,0.384615385,0.312,0.230769231,0.461538462,1,Regular growth
Casella Waste Systems Inc. Class A,CWST,United States,Utilities,Environmental Services,1,1.23,0.29,0.51,0.29,4,1.09,2.76,0.11,34680000,0.583333333,0.738095238,0.666666667,0.692,0.916666667,0.583333333,1.6,Regular growth
Clearway Energy Inc. Class C,CWEN,United States,Utilities,Electric Utilities: Central,5,1.88,10.34,4.85,3.2,4,1.9,7.61,0.14,253000000,0.971428571,0.952380952,1,0.976,0.885714286,0.685714286,4.4,Outperformer
Consolidated Water Co. Ltd. Ordinary Shares,CWCO,Cayman Islands,Utilities,Water Supply,0.4,0.23,5.33,1.29,-0.7,4,0.01,5.28,0.03,2408346,1,0.833333333,1,0.96,1,0.076923077,-1.4,Outperformer
Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,CQP,United States,Utilities,Oil/Gas Transmission,3.3,2.86,0.09,0.14,0.09,4,-16.49,-0.4,-1.17,634000000,0.454545455,0.575396825,0.5,0.532,0.818181818,0.090909091,2.9,Regular growth
Chesapeake Utilities Corporation,CPK,United States,Utilities,Oil & Gas Production,5,4.68,0.07,0.09,0.08,4,0.92,-8.48,0.11,-13055000,0.375,0.51984127,0.114583333,0.48,0.031578947,0.797752809,1.1,Regular growth
CenterPoint Energy Inc (Holding Co),CNP,United States,Utilities,Electric Utilities: Central,1.6,0.69,-0.3,-0.13,-0.3,4,1.91,-1.38,0.11,-477000000,0.285714286,0.23015873,0.2,0.2,0.371428571,0.714285714,0,Regular growth
CMS Energy Corporation,CMS,United States,Utilities,Power Generation,2.9,3.38,-0.39,0.16,0.1,4,1.99,3.5,0.11,199000000,0.739130435,0.591269841,0.173913043,0.156,0.869565217,0.913043478,2.3,Outperformer
ClearOne Inc. (DE),CLRO,United States,Utilities,Telecommunications Equipment,0.8,0.16,3.13,-3.27,1.06,4,0.05,1.53,0.28,-1855000,0.066666667,0.055555556,0.986486486,0.944,0.493333333,0.226666667,2.2,Underperformer
Clean Energy Fuels Corp.,CLNE,United States,Utilities,Natural Gas Distribution,-0.3,-0.25,0.41,-2.96,-1.5,4,0.32,1.11,-0.08,-19428000,0.090909091,0.063492063,0.476190476,0.736,0.888888889,0.166666667,-0.6,Underperformer
Clearfield Inc.,CLFD,United States,Utilities,Telecommunications Equipment,2.2,2.4,-0.39,0.93,1.41,4,0.07,17.51,0.1,4674000,0.833333333,0.817460317,0.459459459,0.156,0.933333333,0.293333333,7.5,Outperformer
Ciena Corporation,CIEN,United States,Utilities,Telecommunications Equipment,1,2.17,-0.69,-0.15,-0.15,3,0.55,19.13,0.06,-16700000,0.42,0.222222222,0.378378378,0.112,0.946666667,0.546666667,2.8,Regular growth
Clean Energy Technologies Inc.,CETY,United States,Utilities,Power Generation,0,-0.05,-0.6,0.12,-0.12,4,0.76,0.05,0.08,-1220900,0.695652174,0.53968254,0.130434783,0.128,0.695652174,0.173913043,-1.2,Regular growth
Crestwood Equity Partners LP,CEQP,United States,Utilities,Oil & Gas Production,-0.3,-1.33,0.86,-0.34,-0.33,4,1.47,1.35,0.02,63100000,0.291666667,0.174603175,0.322916667,0.872,0.810526316,0.876404494,-0.6,Regular growth
Constellation Energy Corporation ,CEG,United States,Utilities,Electric Utilities: Central,-0.5,0.23,0.22,-0.54,-0.48,4,0.68,14.54,-0.01,-1392000000,0.171428571,0.142857143,0.771428571,0.64,1,0.257142857,-1.4,Underperformer
CADIZ Inc.,CDZI,United States,Utilities,Water Supply,-0.6,-0.85,0.29,0.18,0.24,4,1.27,0.16,-0.72,-6133000,0.538461538,0.603174603,0.846153846,0.692,0.538461538,0.846153846,-2,Regular growth
Black Hills Corporation,BKH,United States,Utilities,Electric Utilities: Central,4,3.79,0.06,0.06,0.06,4,1.4,-2.62,0.08,133692000,0.585714286,0.432539683,0.614285714,0.448,0.257142857,0.514285714,2.7,Regular growth
Brookfield Infrastructure Partners LP Limited Partnership Units,BIP,Bermuda,Utilities,Power Generation,0.1,0.51,-0.88,2.64,4.04,4,1.3,-7.1,0.01,479000000,0.913043478,0.928571429,0.086956522,0.088,0.130434783,0.391304348,-0.4,Outperformer
Brookfield Renewable Partners L.P. ,BEP,Canada,Utilities,Electric Utilities: Central,-0.6,-0.63,0.14,-0.17,-0.14,4,0.86,-3.36,-0.01,-241000000,0.257142857,0.214285714,0.671428571,0.556,0.2,0.342857143,-1.3,Regular growth
Atlantica Sustainable Infrastructure plc Ordinary Shares,AY,United Kingdom,Utilities,Electric Utilities: Central,-0.1,-0.07,0.81,-1.08,-0.8,4,3.22,3.99,0,170285000,0.114285714,0.103174603,0.857142857,0.856,0.828571429,0.914285714,-1,Underperformer
Avalon Holdings Corporation,AWX,United States,Utilities,Environmental Services,-0.1,0.12,-1.3,45.74,1.03,4,0.92,-1.11,-0.02,-1324000,1,1,0.25,0.064,0.25,0.416666667,-0.5,Outperformer
American States Water Company,AWR,United States,Utilities,Water Supply,2.1,2.33,-0.17,-0.02,0.02,4,1.11,-0.09,0.07,-8728000,0.153846154,0.337301587,0.307692308,0.264,0.461538462,0.615384615,0.9,Regular growth
American Water Works Company Inc.,AWK,United States,Utilities,Water Supply,4.5,5.12,-0.35,0.19,0.14,4,1.24,0.3,0.11,-28000000,0.615384615,0.611111111,0.153846154,0.176,0.692307692,0.769230769,3.8,Regular growth
Avista Corporation,AVA,United States,Utilities,Power Generation,2.1,2.04,0.01,-0.08,0.01,4,1.21,-0.47,0.07,-8786000,0.130434783,0.26984127,0.391304348,0.4,0.608695652,0.347826087,1.1,Underperformer
AudioCodes Ltd.,AUDC,Israel,Utilities,Telecommunications Equipment,0.9,0.9,-0.12,1.82,0.2,4,0.2,0.74,0.15,-1860000,0.906666667,0.849206349,0.527027027,0.296,0.413333333,0.386666667,3.1,Outperformer
Atmos Energy Corporation,ATO,United States,Utilities,Oil/Gas Transmission,,5.2,0.09,0.07,0.07,4,0.63,-3.14,0.08,-484252000,0.318181818,0.472222222,0.5,0.532,0.545454545,0.272727273,,Regular growth
Artesian Resources Corporation Class A,ARTNA,United States,Utilities,Water Supply,1.9,1.83,0.06,0.06,0.06,4,0.78,0.66,0.1,-8385000,0.269230769,0.432539683,0.5,0.448,0.769230769,0.384615385,1.8,Regular growth
Archrock Inc.,AROC,United States,Utilities,Natural Gas Distribution,0.3,0,0.56,0.1,0.56,4,,,0.05,-72542000,0.386363636,0.531746032,0.619047619,0.792,,,,Regular growth
Aris Water Solutions Inc. Class A,ARIS,United States,Utilities,Water Supply,0,-0.05,-0.2,-0.11,-0.2,4,0.63,0.21,0,2165000,0.076923077,0.242063492,0.230769231,0.252,0.615384615,0.230769231,-0.4,Underperformer
Algonquin Power & Utilities Corp. Common Shares,AQN,United States,Utilities,Electric Utilities: Central,-0.3,0.48,-1.8,-0.73,-0.7,4,1.22,-0.73,-0.03,-146462000,0.142857143,0.126984127,0.028571429,0.056,0.428571429,0.457142857,-0.1,Underperformer
